切れる踏切と	断掉的平交道
曲がるはずの夜汽車と	本应弯曲的夜行列车
聞ける筈ない空の音楽	不应听到的那空虚的音乐
ゆらり文字も踊り出す駅から	今天 摇曳的文字在跳舞的车站里
今日は人が出てきた	出现了一个乘客
こうやって	如此这般地
馬鹿騒ぎで	误入歧途
わかったふりして	似懂非懂
何もしない	袖手旁观
あの日から停まるんだ	那天起就停滞不前了
今日もこの場所	今天这里也是
誰も見えはしない	没人看得见
誰も追えやしない	没人能追寻
線路を越え	越过轨道
まだ見えぬようにと	还是看不见啊
目を伏せた	而低头俯视
今日も雨	今天又下雨了
ここは	这里是
何処か	哪里啊
あたり見て廻ったが	虽把周遭都观察过了
何もない 何もない	什么都没有 什么都没有
筈はない ここもそう	不应如此 这里也是
明日に消えてく 明日は来ない	明天就要消失了 明天不会到来了
それは だから	这 所以
何処となく こっちまでおいでよ	某个地方 来到这里吧
むかってく 見えない	它正向我走来 虽然你看不见
だから だけど	所以啊 但是啊
口を閉じたの いて欲しいの	不禁闭上了嘴巴 希望能被听见
そっぽ向いて こっち向いて	把头别过去 看着这边吧
本当は迎えがほしいの	其实想有人迎接回家
あのねそれじゃ	那个呢 所以就
おやすみ	晚安喔
誰も見えはしない	没人看得见
誰も追えやしない	也没人能追寻
駅を越え	穿过车站
また見えるようにと	这样就能再看见了
目を伏せた	而低头俯视
今日も雨	又下雨了
誰も見えやしない	没人看得见
私は何処へ消えたのか	我到底消失在何方呢
あなたが来ないように	为了让你到达不了
強く止めたはずだったの	本来激烈阻止过才对的啊
準備出来たら騒げ yeah	准备好了就躁起来 耶
目指すありのままで	目标是实事求是
俺のスタイルで	以我的方式
俺のスタイルで eh oh	以我的方式 哎噢
爪研いでいた everyday	摩拳擦掌的每一天
騒ぐクラブの裏で yeah	在喧闹的夜店里头 耶
さあ今からさ かますぜ	好 现在起 看我的厉害
マジ超ヤベー	真的超赞
もう超超超 こもっちゃう汗	我已超 超 超 汗流浃背
相当当当ヤバめなダンスで	用相当 当 当 厉害的舞步
周りにしきりにビビり気にしてる	看那周围的隔墙都在颤抖 叫人担心
そんな奴と無関係 cuz 俺ってヤベー	那样的家伙与我无关 因为我才是超赞
ok 俺ら頭からつま先まで 超ヤベー	ok 我们从头到脚都 超赞
四六時中スキル磨いて 超ヤベー	没日没夜地磨练技能 超赞
遊んでいなくても 青春は無くても	就算不去玩乐 就算没有青春
でっかくやるぜと行くだけ明日へと	只管放手一搏 朝着明天迈进
